article_number,article_title,article_text,book,title,chapter,section,annotations
1,Limitele alegerii,Debitorul nu poate executa și nici nu poate fi constrâns să execute o parte dintr-o prestație și o parte din cealaltă.,Cartea a V-a Despre obligații*),Titlul IV Obligațiile complexe,Capitolul III Obligațiile alternative și facultative,Secţiunea 1 Obligațiile alternative,
1,Alegerea prestației de către debitor,"(1) Debitorul care are alegerea prestației este obligat, atunci când una dintre prestații a devenit imposibil de executat chiar din culpa sa, să execute cealaltă prestație.
(2) Dacă, în același caz, ambele prestații devin imposibil de executat, iar imposibilitatea cu privire la una dintre prestații este cauzată de culpa debitorului, acesta este ținut să plătească valoarea prestației care a devenit ultima imposibil de executat.",Cartea a V-a Despre obligații*),Titlul IV Obligațiile complexe,Capitolul III Obligațiile alternative și facultative,Secţiunea 1 Obligațiile alternative,
1,Alegerea prestației de către creditor,"În cazul în care alegerea prestației revine creditorului:
a) dacă una dintre prestații a devenit imposibil de executat, fără culpa vreuneia dintre părți, creditorul este obligat să o primească pe cealaltă;
b) dacă creditorului îi este imputabilă imposibilitatea de executare a uneia dintre prestații, el poate fie să pretindă executarea celeilalte prestații, despăgubindu-l pe debitor pentru prejudiciile cauzate, fie să îl libereze pe acesta de executarea obligației;
c) dacă debitorului îi este imputabilă imposibilitatea de a executa una dintre prestații, creditorul poate cere fie despăgubiri pentru prestația imposibil de executat, fie cealaltă prestație;
d) dacă debitorului îi este imputabilă imposibilitatea de a executa ambele prestații, creditorul poate cere despăgubiri pentru oricare dintre acestea.",Cartea a V-a Despre obligații*),Titlul IV Obligațiile complexe,Capitolul III Obligațiile alternative și facultative,Secţiunea 1 Obligațiile alternative,
1,Stingerea obligației,Obligația se stinge dacă toate prestațiile devin imposibil de executat fără culpa debitorului și înainte ca acesta să fi fost pus în întârziere.,Cartea a V-a Despre obligații*),Titlul IV Obligațiile complexe,Capitolul III Obligațiile alternative și facultative,Secţiunea 1 Obligațiile alternative,
1,Pluralitatea de prestații,Dispozițiile acestei secțiuni se aplică în mod corespunzător în cazul în care obligația alternativă are ca obiect mai mult de două prestații principale.,Cartea a V-a Despre obligații*),Titlul IV Obligațiile complexe,Capitolul III Obligațiile alternative și facultative,Secţiunea 1 Obligațiile alternative,
1,Regim juridic,"(1) Obligația este facultativă atunci când are ca obiect o singură prestație principală de care debitorul se poate însă libera executând o altă prestație determinată.
(2) Debitorul este liberat dacă, fără culpa sa, prestația principală devine imposibil de executat.",Cartea a V-a Despre obligații*),Titlul IV Obligațiile complexe,Capitolul III Obligațiile alternative și facultative,Secţiunea a 2-a Obligațiile facultative,
1,Noțiune,"(1) Obligația se stinge prin plată atunci când prestația datorată este executată de bunăvoie.
(2) Plata constă în remiterea unei sume de bani sau, după caz, în executarea oricărei alte prestații care constituie obiectul însuși al obligației.",Cartea a V-a Despre obligații*),Titlul V Executarea obligațiilor,Capitolul I Plata,Secţiunea 1 Dispoziții generale,
1,Temeiul plății,Orice plată presupune o datorie.,Cartea a V-a Despre obligații*),Titlul V Executarea obligațiilor,Capitolul I Plata,Secţiunea 1 Dispoziții generale,
1,Plata obligației naturale,Restituirea nu este admisă în privința obligațiilor naturale care au fost executate de bunăvoie.,Cartea a V-a Despre obligații*),Titlul V Executarea obligațiilor,Capitolul I Plata,Secţiunea 1 Dispoziții generale,
1,Persoanele care pot face plata,"Plata poate să fie făcută de orice persoană, chiar dacă este un terț în raport cu acea obligație.",Cartea a V-a Despre obligații*),Titlul V Executarea obligațiilor,Capitolul I Plata,Secţiunea a 2-a Subiectele plății,
1,Plata făcută de un incapabil,Debitorul care a executat prestația datorată nu poate cere restituirea invocând incapacitatea sa la data executării.,Cartea a V-a Despre obligații*),Titlul V Executarea obligațiilor,Capitolul I Plata,Secţiunea a 2-a Subiectele plății,
1,Plata obligației de către un terț,"(1) Creditorul este dator să refuze plata oferită de terț dacă debitorul l-a încunoștințat în prealabil că se opune la aceasta, cu excepția cazului în care un asemenea refuz l-ar prejudicia pe creditor.
(2) În celelalte cazuri, creditorul nu poate refuza plata făcută de un terț decât dacă natura obligației sau convenția părților impune ca obligația să fie executată numai de debitor.
(3) Plata făcută de un terț stinge obligația dacă este făcută pe seama debitorului. În acest caz, terțul nu se subrogă în drepturile creditorului plătit decât în cazurile și condițiile prevăzute de lege.
(4) Dispozițiile prezentului capitol privind condițiile plății se aplică în mod corespunzător atunci când plata este făcută de un terț.",Cartea a V-a Despre obligații*),Titlul V Executarea obligațiilor,Capitolul I Plata,Secţiunea a 2-a Subiectele plății,
1,Persoanele care pot primi plata,"Plata trebuie făcută creditorului, reprezentantului său, legal sau convențional, persoanei indicate de acesta ori persoanei autorizate de instanță să o primească.",Cartea a V-a Despre obligații*),Titlul V Executarea obligațiilor,Capitolul I Plata,Secţiunea a 2-a Subiectele plății,
1,Plata făcută unui incapabil,Plata făcută unui creditor care este incapabil de a o primi nu liberează pe debitor decât în măsura în care profită creditorului.,Cartea a V-a Despre obligații*),Titlul V Executarea obligațiilor,Capitolul I Plata,Secţiunea a 2-a Subiectele plății,
1,Plata făcută unui terț,"(1) Plata făcută unei alte persoane decât cele menționate la art. 1.475 este totuși valabilă dacă:
a) este ratificată de creditor;
b) cel care a primit plata devine ulterior titularul creanței;
c) a fost făcută celui care a pretins plata în baza unei chitanțe liberatorii semnate de creditor.
(2) Plata făcută în alte condiții decât cele menționate la alin. (1) stinge obligația numai în măsura în care profită creditorului.",Cartea a V-a Despre obligații*),Titlul V Executarea obligațiilor,Capitolul I Plata,Secţiunea a 2-a Subiectele plății,
1,Plata făcută unui creditor aparent,"(1) Plata făcută cu bună-credință unui creditor aparent este valabilă, chiar dacă ulterior se stabilește că acesta nu era adevăratul creditor.
(2) Creditorul aparent este ținut să restituie adevăratului creditor plata primită, potrivit regulilor stabilite pentru restituirea prestațiilor.",Cartea a V-a Despre obligații*),Titlul V Executarea obligațiilor,Capitolul I Plata,Secţiunea a 2-a Subiectele plății,
1,Plata bunurilor indisponibilizate,"Plata făcută cu nesocotirea unui sechestru, a unei popriri ori a unei opoziții formulate, în condițiile legii, pentru a opri efectuarea plății de către debitor nu îi împiedică pe creditorii care au obținut luarea unei asemenea măsuri să ceară din nou plata. În acest caz, debitorul păstrează dreptul de regres împotriva creditorului care a primit plata nevalabil făcută.",Cartea a V-a Despre obligații*),Titlul V Executarea obligațiilor,Capitolul I Plata,Secţiunea a 2-a Subiectele plății,
1,Diligența cerută în executarea obligațiilor,"(1) Debitorul este ținut să își execute obligațiile cu diligența pe care un bun proprietar o depune în administrarea bunurilor sale, afară de cazul în care prin lege sau prin contract s-ar dispune altfel.
(2) În cazul unor obligații inerente unei activități profesionale, diligența se apreciază ținând seama de natura activității exercitate.",Cartea a V-a Despre obligații*),Titlul V Executarea obligațiilor,Capitolul I Plata,Secţiunea a 3-a Condițiile plății,
1,Obligațiile de mijloace și obligațiile de rezultat,"(1) În cazul obligației de rezultat, debitorul este ținut să procure creditorului rezultatul promis.
(2) În cazul obligațiilor de mijloace, debitorul este ținut să folosească toate mijloacele necesare pentru atingerea rezultatului promis.
(3) Pentru a stabili dacă o obligație este de mijloace sau de rezultat se va ține seama îndeosebi de:
a) modul în care obligația este stipulată în contract;
b) existența și natura contraprestației și celelalte elemente ale contractului;
c) gradul de risc pe care îl presupune atingerea rezultatului;
d) influența pe care cealaltă parte o are asupra executării obligației.",Cartea a V-a Despre obligații*),Titlul V Executarea obligațiilor,Capitolul I Plata,Secţiunea a 3-a Condițiile plății,
1,Obligația de a preda bunuri individual determinate,"(1) Debitorul unui bun individual determinat este liberat prin predarea acestuia în starea în care se afla la momentul nașterii obligației.
(2) Dacă însă, la data executării, debitorul nu este titularul dreptului ce trebuia transmis ori cedat sau, după caz, nu poate dispune de acesta în mod liber, obligația debitorului nu se stinge, dispozițiile art. 1.230 aplicându-se în mod corespunzător.",Cartea a V-a Despre obligații*),Titlul V Executarea obligațiilor,Capitolul I Plata,Secţiunea a 3-a Condițiile plății,
1,Obligația de a strămuta proprietatea,"(1) Obligația de a strămuta proprietatea implică și obligațiile de a preda lucrul și de a-l conserva până la predare.
(2) În ceea ce privește imobilele înscrise în cartea funciară, obligația de a strămuta proprietatea o cuprinde și pe aceea de a preda înscrisurile necesare pentru efectuarea înscrierii.",Cartea a V-a Despre obligații*),Titlul V Executarea obligațiilor,Capitolul I Plata,Secţiunea a 3-a Condițiile plății,
1,Cedarea drepturilor sau acțiunilor,"Dacă bunul a pierit, s-a pierdut sau a fost scos din circuitul civil, fără culpa debitorului, acesta este dator să cedeze creditorului drepturile sau acțiunile în despăgubire pe care le are cu privire la bunul respectiv.",Cartea a V-a Despre obligații*),Titlul V Executarea obligațiilor,Capitolul I Plata,Secţiunea a 3-a Condițiile plății,
1,Obligația de a preda un bun,Obligația de a preda un bun individual determinat o cuprinde și pe aceea de a-l conserva până la predare.,Cartea a V-a Despre obligații*),Titlul V Executarea obligațiilor,Capitolul I Plata,Secţiunea a 3-a Condițiile plății,
1,Obligația de a da bunuri de gen,"Dacă obligația are ca obiect bunuri de gen, debitorul are dreptul să aleagă bunurile ce vor fi predate. El nu este însă liberat decât prin predarea unor bunuri de calitate cel puțin medie.",Cartea a V-a Despre obligații*),Titlul V Executarea obligațiilor,Capitolul I Plata,Secţiunea a 3-a Condițiile plății,
1,Obligația de a constitui o garanție,"Cel care este ținut să constituie o garanție, fără ca modalitatea și forma acesteia să fie determinate, poate oferi, la alegerea sa, o garanție reală sau personală ori o altă garanție suficientă.",Cartea a V-a Despre obligații*),Titlul V Executarea obligațiilor,Capitolul I Plata,Secţiunea a 3-a Condițiile plății,
1,Obligația de a da o sumă de bani,"(1) Debitorul unei sume de bani este liberat prin remiterea către creditor a sumei nominale datorate.
Decizie de respingere: RIL nr. 3/2021, publicată în Monitorul Oficial nr. 425 din 22 aprilie 2021.
(2) Plata se poate face prin orice mijloc folosit în mod obișnuit în locul unde aceasta trebuie efectuată.
(3) Cu toate acestea, creditorul care acceptă în condițiile alin. (2) un cec ori un alt instrument de plată este prezumat că o face numai cu condiția ca acesta să fie onorat.",Cartea a V-a Despre obligații*),Titlul V Executarea obligațiilor,Capitolul I Plata,Secţiunea a 3-a Condițiile plății,Notă
1,Dobânzile sumelor de bani,"(1) Dobânda este cea convenită de părți sau, în lipsă, cea stabilită de lege.
(2) Dobânzile scadente produc ele însele dobânzi numai atunci când legea sau contractul, în limitele permise de lege, o prevede ori, în lipsă, atunci când sunt cerute în instanță. În acest din urmă caz, dobânzile curg numai de la data cererii de chemare în judecată.",Cartea a V-a Despre obligații*),Titlul V Executarea obligațiilor,Capitolul I Plata,Secţiunea a 3-a Condițiile plății,
1,Plata parțială,"(1) Creditorul poate refuza să primească o executare parțială, chiar dacă prestația ar fi divizibilă.
(2) Cheltuielile suplimentare cauzate creditorului de faptul executării parțiale sunt în sarcina debitorului, chiar și atunci când creditorul acceptă o asemenea executare.",Cartea a V-a Despre obligații*),Titlul V Executarea obligațiilor,Capitolul I Plata,Secţiunea a 3-a Condițiile plății,
1,Plata făcută cu bunul altuia,"(1) Atunci când, în executarea obligației sale, debitorul predă un bun care nu îi aparține sau de care nu poate dispune, el nu poate cere creditorului restituirea bunului predat decât dacă se angajează să execute prestația datorată cu un alt bun de care acesta poate dispune.
(2) Creditorul de bună-credință poate însă restitui bunul primit și solicita, dacă este cazul, daune-interese pentru repararea prejudiciului suferit.",Cartea a V-a Despre obligații*),Titlul V Executarea obligațiilor,Capitolul I Plata,Secţiunea a 3-a Condițiile plății,
1,Darea în plată,"(1) Debitorul nu se poate libera executând o altă prestație decât cea datorată, chiar dacă valoarea prestației oferite ar fi egală sau mai mare, decât dacă creditorul consimte la aceasta. În acest din urmă caz, obligația se stinge atunci când noua prestație este efectuată.
(2) Dacă prestația oferită în schimb constă în transferul proprietății sau al unui alt drept, debitorul este ținut de garanția contra evicțiunii și de garanția contra viciilor lucrului, potrivit regulilor aplicabile în materia vânzării, cu excepția cazului în care creditorul preferă să ceară prestația inițială și repararea prejudiciului. În aceste cazuri, garanțiile oferite de terți nu renasc.",Cartea a V-a Despre obligații*),Titlul V Executarea obligațiilor,Capitolul I Plata,Secţiunea a 3-a Condițiile plății,
1,Cesiunea de creanță în locul executării,"(1) Atunci când, în locul prestației inițiale, este cedată o creanță, obligația se stinge în momentul satisfacerii creanței cedate. Dispozițiile art. 1.568-1.584 sunt aplicabile în mod corespunzător.
(2) Dacă, potrivit înțelegerii părților, obligația în locul căreia debitorul își cedează propria creanță se stinge încă de la data cesiunii, dispozițiile art. 1.586 sunt aplicabile în mod corespunzător, cu excepția cazului în care creditorul preferă să ceară prestația inițială.",Cartea a V-a Despre obligații*),Titlul V Executarea obligațiilor,Capitolul I Plata,Secţiunea a 3-a Condițiile plății,
1,Locul plății,"(1) În lipsa unei stipulații contrare ori dacă locul plății nu se poate stabili potrivit naturii prestației sau în temeiul contractului, al practicilor statornicite între părți ori al uzanțelor:
a) obligațiile bănești trebuie executate la domiciliul sau, după caz, sediul creditorului de la data plății;
b) obligația de a preda un lucru individual determinat trebuie executată în locul în care bunul se afla la data încheierii contractului;
c) celelalte obligații se execută la domiciliul sau, după caz, sediul debitorului la data încheierii contractului.
(2) Partea care, după încheierea contractului, își schimbă domiciliul sau, după caz, sediul determinat, potrivit prevederilor alin. (1), ca loc al plății, suportă cheltuielile suplimentare pe care această schimbare le cauzează.",Cartea a V-a Despre obligații*),Titlul V Executarea obligațiilor,Capitolul I Plata,Secţiunea a 3-a Condițiile plății,
1,Data plății,"(1) În lipsa unui termen stipulat de părți sau determinat în temeiul contractului, al practicilor statornicite între acestea ori al uzanțelor, obligația trebuie executată de îndată.
(2) Instanța poate stabili un termen atunci când natura prestației sau locul unde urmează să se facă plata o impune.",Cartea a V-a Despre obligații*),Titlul V Executarea obligațiilor,Capitolul I Plata,Secţiunea a 3-a Condițiile plății,
1,Plata anticipată,"(1) Debitorul este liber să execute obligația chiar înaintea scadenței dacă părțile nu au convenit contrariul ori dacă aceasta nu rezultă din natura contractului sau din împrejurările în care a fost încheiat.
(2) Cu toate acestea, creditorul poate refuza executarea anticipată dacă are un interes legitim ca plata să fie făcută la scadență.
(3) În toate cazurile, cheltuielile suplimentare cauzate creditorului de faptul executării anticipate a obligației sunt în sarcina debitorului.",Cartea a V-a Despre obligații*),Titlul V Executarea obligațiilor,Capitolul I Plata,Secţiunea a 3-a Condițiile plății,
1,Data plății prin virament bancar,"Dacă plata se face prin virament bancar, data plății este aceea la care contul creditorului a fost alimentat cu suma de bani care a făcut obiectul plății.",Cartea a V-a Despre obligații*),Titlul V Executarea obligațiilor,Capitolul I Plata,Secţiunea a 3-a Condițiile plății,
1,Cheltuielile plății,"Cheltuielile plății sunt în sarcina debitorului, în lipsă de stipulație contrară.",Cartea a V-a Despre obligații*),Titlul V Executarea obligațiilor,Capitolul I Plata,Secţiunea a 3-a Condițiile plății,
1,Mijloace de dovadă,"Dacă prin lege nu se prevede altfel, dovada plății se face cu orice mijloc de probă.",Cartea a V-a Despre obligații*),Titlul V Executarea obligațiilor,Capitolul I Plata,Secţiunea a 4-a Dovada plății,
1,Chitanța liberatorie,"(1) Cel care plătește are dreptul la o chitanță liberatorie, precum și, dacă este cazul, la remiterea înscrisului original al creanței.
(2) Cheltuielile întocmirii chitanței sunt în sarcina debitorului, în lipsă de stipulație contrară.
(3) În cazul în care creditorul refuză, în mod nejustificat, să elibereze chitanța, debitorul are dreptul să suspende plata.",Cartea a V-a Despre obligații*),Titlul V Executarea obligațiilor,Capitolul I Plata,Secţiunea a 4-a Dovada plății,
1,Prezumția executării prestației accesorii,"Chitanța în care se consemnează primirea prestației principale face să se prezume, până la proba contrară, executarea prestațiilor accesorii.",Cartea a V-a Despre obligații*),Titlul V Executarea obligațiilor,Capitolul I Plata,Secţiunea a 4-a Dovada plății,
1,Prezumția executării prestațiilor periodice,"Chitanța dată pentru primirea uneia dintre prestațiile periodice care fac obiectul obligației face să se prezume, până la proba contrară, executarea prestațiilor devenite scadente anterior.",Cartea a V-a Despre obligații*),Titlul V Executarea obligațiilor,Capitolul I Plata,Secţiunea a 4-a Dovada plății,
1,Remiterea înscrisului original al creanței,"(1) Remiterea voluntară a înscrisului original constatator al creanței, făcută de creditor către debitor, unul din codebitori sau fideiusor, naște prezumția stingerii obligației prin plată. Proba contrară revine celui interesat să dovedească stingerea obligației pe altă cale.
(2) Dacă înscrisul original remis voluntar este întocmit în formă autentică, creditorul are dreptul să probeze că remiterea s-a făcut pentru un alt motiv decât stingerea obligației.
(3) Se prezumă, până la proba contrară, că intrarea persoanelor menționate la alin. (1) în posesia înscrisului original al creanței s-a făcut printr-o remitere voluntară din partea creditorului.",Cartea a V-a Despre obligații*),Titlul V Executarea obligațiilor,Capitolul I Plata,Secţiunea a 4-a Dovada plății,
1,Plata prin virament bancar,"(1) Dacă plata se face prin virament bancar, ordinul de plată semnat de debitor și vizat de instituția de credit plătitoare prezumă efectuarea plății, până la proba contrară.
(2) Debitorul are oricând dreptul să solicite instituției de credit a creditorului o confirmare, în scris, a efectuării plății prin virament. Această confirmare face dovada plății.",Cartea a V-a Despre obligații*),Titlul V Executarea obligațiilor,Capitolul I Plata,Secţiunea a 4-a Dovada plății,
1,Liberarea garanțiilor,"Dacă părțile nu au convenit că garanțiile vor asigura executarea unei alte obligații, creditorul care a primit plata trebuie să consimtă la liberarea bunurilor afectate de garanțiile reale constituite pentru satisfacerea creanței sale, precum și să restituie bunurile deținute în garanție, dacă este cazul.",Cartea a V-a Despre obligații*),Titlul V Executarea obligațiilor,Capitolul I Plata,Secţiunea a 4-a Dovada plății,
1,Imputația plății făcută prin acordul părților,"(1) Plata efectuată de debitorul mai multor datorii față de același creditor, care au același obiect, se impută asupra acestora conform acordului părților.
(2) În lipsa acordului părților, se aplică dispozițiile prezentei secțiuni.",Cartea a V-a Despre obligații*),Titlul V Executarea obligațiilor,Capitolul I Plata,Secţiunea a 5-a Imputația plății,
1,Imputația făcută de debitor,"(1) Debitorul mai multor datorii care au ca obiect bunuri de același fel are dreptul să indice, atunci când plătește, datoria pe care înțelege să o execute. Plata se impută mai întâi asupra cheltuielilor, apoi asupra dobânzilor și, la urmă, asupra capitalului.
(2) Debitorul nu poate, fără consimțământul creditorului, să impute plata asupra unei datorii care nu este încă exigibilă cu preferință față de o datorie scadentă, cu excepția cazului în care s-a prevăzut că debitorul poate plăti anticipat.
(3) În cazul plății efectuate prin virament bancar, debitorul face imputația prin mențiunile corespunzătoare consemnate de el pe ordinul de plată.",Cartea a V-a Despre obligații*),Titlul V Executarea obligațiilor,Capitolul I Plata,Secţiunea a 5-a Imputația plății,
1,Imputația făcută de creditor,"(1) În lipsa unei indicații din partea debitorului, creditorul poate, într-un termen rezonabil după ce a primit plata, să indice debitorului datoria asupra căreia aceasta se va imputa. Creditorul nu poate imputa plata asupra unei datorii neexigibile ori litigioase.
(2) Atunci când creditorul remite debitorului o chitanță liberatorie, el este dator să facă imputația prin acea chitanță.",Cartea a V-a Despre obligații*),Titlul V Executarea obligațiilor,Capitolul I Plata,Secţiunea a 5-a Imputația plății,
1,Imputația legală,"(1) Dacă niciuna dintre părți nu face imputația plății, vor fi aplicate, în ordine, următoarele reguli:
a) plata se impută cu prioritate asupra datoriilor ajunse la scadență;
b) se vor considera stinse, în primul rând, datoriile negarantate sau cele pentru care creditorul are cele mai puține garanții;
c) imputația se va face mai întâi asupra datoriilor mai oneroase pentru debitor;
d) dacă toate datoriile sunt deopotrivă scadente, precum și, în egală măsură, garantate și oneroase, se vor stinge datoriile mai vechi;
e) în lipsa tuturor criteriilor menționate la lit. a)-d), imputația se va face proporțional cu valoarea datoriilor.
(2) În toate cazurile, plata se va imputa mai întâi asupra cheltuielilor de judecată și executare, apoi asupra ratelor, dobânzilor și penalităților, în ordinea cronologică a scadenței acestora, și, în final, asupra capitalului, dacă părțile nu convin altfel.",Cartea a V-a Despre obligații*),Titlul V Executarea obligațiilor,Capitolul I Plata,Secţiunea a 5-a Imputația plății,
1,Cazuri de punere în întârziere a creditorului,"Creditorul poate fi pus în întârziere atunci când refuză, în mod nejustificat, plata oferită în mod corespunzător sau când refuză să îndeplinească actele pregătitoare fără de care debitorul nu își poate executa obligația.",Cartea a V-a Despre obligații*),Titlul V Executarea obligațiilor,Capitolul I Plata,Secţiunea a 6-a Punerea în întârziere a creditorului,
1,Efectele punerii în întârziere a creditorului,"(1) Creditorul pus în întârziere preia riscul imposibilității de executare a obligației, iar debitorul nu este ținut să restituie fructele culese după punerea în întârziere.
(2) Creditorul este ținut la repararea prejudiciilor cauzate prin întârziere și la acoperirea cheltuielilor de conservare a bunului datorat.",Cartea a V-a Despre obligații*),Titlul V Executarea obligațiilor,Capitolul I Plata,Secţiunea a 6-a Punerea în întârziere a creditorului,
1,Drepturile debitorului,"Debitorul poate consemna bunul pe cheltuiala și riscurile creditorului, liberându-se astfel de obligația sa.",Cartea a V-a Despre obligații*),Titlul V Executarea obligațiilor,Capitolul I Plata,Secţiunea a 6-a Punerea în întârziere a creditorului,
1,Procedură,Procedura ofertei de plată și a consemnațiunii este prevăzută de Codul de procedură civilă.,Cartea a V-a Despre obligații*),Titlul V Executarea obligațiilor,Capitolul I Plata,Secţiunea a 6-a Punerea în întârziere a creditorului,
1,Vânzarea publică,"(1) Dacă natura bunului face imposibilă consemnarea, dacă bunul este perisabil sau dacă depozitarea lui necesită costuri de întreținere ori cheltuieli considerabile, debitorul poate porni vânzarea publică a bunului și poate consemna prețul, notificând în prealabil creditorului și primind încuviințarea instanței judecătorești.
(2) Dacă bunul este cotat la bursă sau pe o altă piață reglementată, dacă are un preț curent sau are o valoare prea mică față de cheltuielile unei vânzări publice, instanța poate încuviința vânzarea bunului fără notificarea creditorului.",Cartea a V-a Despre obligații*),Titlul V Executarea obligațiilor,Capitolul I Plata,Secţiunea a 6-a Punerea în întârziere a creditorului,
1,Retragerea bunului consemnat,Debitorul are dreptul să retragă bunul consemnat cât timp creditorul nu a declarat că acceptă consemnarea sau aceasta nu a fost validată de instanță. Creanța renaște cu toate garanțiile și toate celelalte accesorii ale sale din momentul retragerii bunului.,Cartea a V-a Despre obligații*),Titlul V Executarea obligațiilor,Capitolul I Plata,Secţiunea a 6-a Punerea în întârziere a creditorului,
1,Drepturile creditorului,"(1) Creditorul are dreptul la îndeplinirea integrală, exactă și la timp a obligației.
(2) Atunci când, fără justificare, debitorul nu își execută obligația și se află în întârziere, creditorul poate, la alegerea sa și fără a pierde dreptul la daune-interese, dacă i se cuvin:
1. să ceară sau, după caz, să treacă la executarea silită a obligației;
2. să obțină, dacă obligația este contractuală, rezoluțiunea sau rezilierea contractului ori, după caz, reducerea propriei obligații corelative;
3. să folosească, atunci când este cazul, orice alt mijloc prevăzut de lege pentru realizarea dreptului său.
Decizie de respingere: HP nr. 13/2022, publicată în Monitorul Oficial nr. 398 din 26 aprilie 2022.",Cartea a V-a Despre obligații*),Titlul V Executarea obligațiilor,Capitolul II Executarea silită a obligațiilor,Secţiunea 1 Dispoziții generale,Notă
1,Neexecutarea imputabilă creditorului,O parte nu poate invoca neexecutarea obligațiilor celeilalte părți în măsura în care neexecutarea este cauzată de propria sa acțiune sau omisiune.,Cartea a V-a Despre obligații*),Titlul V Executarea obligațiilor,Capitolul II Executarea silită a obligațiilor,Secţiunea 1 Dispoziții generale,
1,Răspunderea debitorului,"(1) Dacă prin lege nu se dispune altfel, debitorul răspunde personal de îndeplinirea obligațiilor sale.
(2) Răspunderea debitorului poate fi limitată numai în cazurile și condițiile prevăzute de lege.",Cartea a V-a Despre obligații*),Titlul V Executarea obligațiilor,Capitolul II Executarea silită a obligațiilor,Secţiunea 1 Dispoziții generale,
1,Răspunderea pentru fapta terților,"Dacă părțile nu convin altfel, debitorul răspunde pentru prejudiciile cauzate din culpa persoanei de care se folosește pentru executarea obligațiilor contractuale.",Cartea a V-a Despre obligații*),Titlul V Executarea obligațiilor,Capitolul II Executarea silită a obligațiilor,Secţiunea 1 Dispoziții generale,
1,Răspunderea terților,"Creditorul poate urmări și bunurile care aparțin terților, dacă acestea sunt afectate pentru plata datoriilor debitorului ori au făcut obiectul unor acte juridice care au fost revocate ca fiind încheiate în frauda creditorului.",Cartea a V-a Despre obligații*),Titlul V Executarea obligațiilor,Capitolul II Executarea silită a obligațiilor,Secţiunea 1 Dispoziții generale,
1,Moduri,Punerea în întârziere a debitorului poate opera de drept sau la cererea creditorului.,Cartea a V-a Despre obligații*),Titlul V Executarea obligațiilor,Capitolul II Executarea silită a obligațiilor,Secţiunea a 2-a Punerea în întârziere a debitorului,
1,Punerea în întârziere de către creditor,"(1) Debitorul poate fi pus în întârziere fie printr-o notificare scrisă prin care creditorul îi solicită executarea obligației, fie prin cererea de chemare în judecată.
(2) Dacă prin lege sau prin contract nu se prevede altfel, notificarea se comunică debitorului prin executor judecătoresc sau prin orice alt mijloc care asigură dovada comunicării.
(3) Prin notificare trebuie să se acorde debitorului un termen de executare, ținând seama de natura obligației și de împrejurări. Dacă prin notificare nu se acordă un asemenea termen, debitorul poate să execute obligația într-un termen rezonabil, calculat din ziua comunicării notificării.
(4) Până la expirarea termenului prevăzut la alin. (3), creditorul poate suspenda executarea propriei obligații, poate cere daune-interese, însă nu poate exercita celelalte drepturi prevăzute la art. 1.516, dacă prin lege nu se prevede altfel. Creditorul poate exercita aceste drepturi dacă debitorul îl informează că nu va executa obligațiile în termenul stabilit sau dacă, la expirarea termenului, obligația nu a fost executată.
(5) Cererea de chemare în judecată formulată de creditor, fără ca anterior debitorul să fi fost pus în întârziere, conferă debitorului dreptul de a executa obligația într-un termen rezonabil, calculat de la data când cererea i-a fost comunicată. Dacă obligația este executată în acest termen, cheltuielile de judecată rămân în sarcina creditorului.",Cartea a V-a Despre obligații*),Titlul V Executarea obligațiilor,Capitolul II Executarea silită a obligațiilor,Secţiunea a 2-a Punerea în întârziere a debitorului,
1,Întârzierea de drept în executarea obligației,"(1) Debitorul se află de drept în întârziere atunci când s-a stipulat că simpla împlinire a termenului stabilit pentru executare produce un asemenea efect.
(2) De asemenea, debitorul se află de drept în întârziere în cazurile anume prevăzute de lege, precum și atunci când:
a) obligația nu putea fi executată în mod util decât într-un anumit timp, pe care debitorul l-a lăsat să treacă, sau când nu a executat-o imediat, deși exista urgență;
b) prin fapta sa, debitorul a făcut imposibilă executarea în natură a obligației sau când a încălcat o obligație de a nu face;
c) debitorul și-a manifestat în mod neîndoielnic față de creditor intenția de a nu executa obligația sau când, fiind vorba de o obligație cu executare succesivă, refuză ori neglijează să își execute obligația în mod repetat;
d) nu a fost executată obligația de a plăti o sumă de bani, asumată în exercițiul activității unei întreprinderi;
e) obligația se naște din săvârșirea unei fapte ilicite extracontractuale.
(3) În cazurile prevăzute la alin. (1) și (2), dacă obligația devine scadentă după decesul debitorului, moștenitorii acestuia nu sunt în întârziere decât după trecerea a 15 zile de la data la care creditorul i-a notificat sau, după caz, de la data notificării curatorului desemnat în condițiile art. 1.136.
(4) Cazurile în care debitorul se află de drept în întârziere trebuie dovedite de creditor. Orice declarație sau stipulație contrară se consideră nescrisă.",Cartea a V-a Despre obligații*),Titlul V Executarea obligațiilor,Capitolul II Executarea silită a obligațiilor,Secţiunea a 2-a Punerea în întârziere a debitorului,
1,Oferta de executare,"Debitorul nu este în întârziere dacă a oferit, când se cuvenea, prestația datorată, chiar fără a respecta formalitățile prevăzute la art. 1.510-1.515, însă creditorul a refuzat, fără temei legitim, să o primească.",Cartea a V-a Despre obligații*),Titlul V Executarea obligațiilor,Capitolul II Executarea silită a obligațiilor,Secţiunea a 2-a Punerea în întârziere a debitorului,
